Gene stable ID	Gene name	Gene description	NCBI gene (formerly Entrezgene) ID
ENSMUSG00000024727	Trpm6	transient receptor potential cation channel, subfamily M, member 6 [Source:MGI Symbol;Acc:MGI:2675603]	225997
ENSMUSG00000024731	Ms4a10	membrane-spanning 4-domains, subfamily A, member 10 [Source:MGI Symbol;Acc:MGI:1917076]	69826
ENSMUSG00000024737	Slc15a3	solute carrier family 15, member 3 [Source:MGI Symbol;Acc:MGI:1929691]	65221
ENSMUSG00000024770	Lipn	lipase, family member N [Source:MGI Symbol;Acc:MGI:1917416]	70166
ENSMUSG00000024772	Ehd1	EH-domain containing 1 [Source:MGI Symbol;Acc:MGI:1341878]	13660
ENSMUSG00000024778	Fas	Fas (TNF receptor superfamily member 6) [Source:MGI Symbol;Acc:MGI:95484]	14102
ENSMUSG00000024781	Lipa	lysosomal acid lipase A [Source:MGI Symbol;Acc:MGI:96789]	16889
ENSMUSG00000024793	Tnfrsf25	tumor necrosis factor receptor superfamily, member 25 [Source:MGI Symbol;Acc:MGI:1934667]	85030
ENSMUSG00000024798	Htr7	5-hydroxytryptamine (serotonin) receptor 7 [Source:MGI Symbol;Acc:MGI:99841]	15566
ENSMUSG00000024803	Ankrd1	ankyrin repeat domain 1 (cardiac muscle) [Source:MGI Symbol;Acc:MGI:1097717]	107765
ENSMUSG00000024810	Il33	interleukin 33 [Source:MGI Symbol;Acc:MGI:1924375]	77125
ENSMUSG00000024854	Pold4	polymerase (DNA-directed), delta 4 [Source:MGI Symbol;Acc:MGI:1916995]	69745
ENSMUSG00000024873	Cnih2	cornichon family AMPA receptor auxiliary protein 2 [Source:MGI Symbol;Acc:MGI:1277225]	12794
ENSMUSG00000024899	Papss2	3'-phosphoadenosine 5'-phosphosulfate synthase 2 [Source:MGI Symbol;Acc:MGI:1330223]	23972
ENSMUSG00000024907	Gal	galanin and GMAP prepropeptide [Source:MGI Symbol;Acc:MGI:95637]	14419
ENSMUSG00000024910	Ctsw	cathepsin W [Source:MGI Symbol;Acc:MGI:1338045]	13041
ENSMUSG00000024912	Fosl1	fos-like antigen 1 [Source:MGI Symbol;Acc:MGI:107179]	14283
ENSMUSG00000024965	Fermt3	fermitin family member 3 [Source:MGI Symbol;Acc:MGI:2147790]	108101
ENSMUSG00000024987	Cyp26a1	cytochrome P450, family 26, subfamily a, polypeptide 1 [Source:MGI Symbol;Acc:MGI:1096359]	13082
ENSMUSG00000024990	Rbp4	retinol binding protein 4, plasma [Source:MGI Symbol;Acc:MGI:97879]	19662
ENSMUSG00000024998	Plce1	phospholipase C, epsilon 1 [Source:MGI Symbol;Acc:MGI:1921305]	74055
ENSMUSG00000025014	Dntt	deoxynucleotidyltransferase, terminal [Source:MGI Symbol;Acc:MGI:98659]	21673
ENSMUSG00000025017	Pik3ap1	phosphoinositide-3-kinase adaptor protein 1 [Source:MGI Symbol;Acc:MGI:1933177]	83490
ENSMUSG00000025044	Msr1	macrophage scavenger receptor 1 [Source:MGI Symbol;Acc:MGI:98257]	20288
ENSMUSG00000025064	Col17a1	collagen, type XVII, alpha 1 [Source:MGI Symbol;Acc:MGI:88450]	12821
ENSMUSG00000025066	Sfr1	SWI5 dependent recombination repair 1 [Source:MGI Symbol;Acc:MGI:1915038]	67788
ENSMUSG00000025068	Gsto1	glutathione S-transferase omega 1 [Source:MGI Symbol;Acc:MGI:1342273]	14873
ENSMUSG00000025083	Afap1l2	actin filament associated protein 1-like 2 [Source:MGI Symbol;Acc:MGI:2147658]	226250
ENSMUSG00000025085	Ablim1	actin-binding LIM protein 1 [Source:MGI Symbol;Acc:MGI:1194500]	226251
ENSMUSG00000025128	Bhlhe22	basic helix-loop-helix family, member e22 [Source:MGI Symbol;Acc:MGI:1930001]	59058
ENSMUSG00000025161	Slc16a3	solute carrier family 16 (monocarboxylic acid transporters), member 3 [Source:MGI Symbol;Acc:MGI:1933438]	80879
ENSMUSG00000025163	Cd7	CD7 antigen [Source:MGI Symbol;Acc:MGI:88344]	12516
ENSMUSG00000025185	Loxl4	lysyl oxidase-like 4 [Source:MGI Symbol;Acc:MGI:1914823]	67573
ENSMUSG00000025190	Got1	glutamic-oxaloacetic transaminase 1, soluble [Source:MGI Symbol;Acc:MGI:95791]	14718
ENSMUSG00000025215	Tlx1	T cell leukemia, homeobox 1 [Source:MGI Symbol;Acc:MGI:98769]	21908
ENSMUSG00000025225	Nfkb2	nuclear factor of kappa light polypeptide gene enhancer in B cells 2, p49/p100 [Source:MGI Symbol;Acc:MGI:1099800]	18034
ENSMUSG00000025270	Alas2	aminolevulinic acid synthase 2, erythroid [Source:MGI Symbol;Acc:MGI:87990]	11656
ENSMUSG00000025279	Dnase1l3	deoxyribonuclease 1-like 3 [Source:MGI Symbol;Acc:MGI:1314633]	13421
ENSMUSG00000025283	Sat1	spermidine/spermine N1-acetyl transferase 1 [Source:MGI Symbol;Acc:MGI:98233]	20229
ENSMUSG00000025348	Itga7	integrin alpha 7 [Source:MGI Symbol;Acc:MGI:102700]	16404
ENSMUSG00000025355	Mmp19	matrix metallopeptidase 19 [Source:MGI Symbol;Acc:MGI:1927899]	58223
ENSMUSG00000025357	Dgka	diacylglycerol kinase, alpha [Source:MGI Symbol;Acc:MGI:102952]	13139
ENSMUSG00000025362	Rps26	ribosomal protein S26 [Source:MGI Symbol;Acc:MGI:1351628]	27370
ENSMUSG00000025383	Il23a	interleukin 23, alpha subunit p19 [Source:MGI Symbol;Acc:MGI:1932410]	83430
ENSMUSG00000025401	Myo1a	myosin IA [Source:MGI Symbol;Acc:MGI:107732]	432516
ENSMUSG00000025407	Gli1	GLI-Kruppel family member GLI1 [Source:MGI Symbol;Acc:MGI:95727]	14632
ENSMUSG00000025408	Ddit3	DNA-damage inducible transcript 3 [Source:MGI Symbol;Acc:MGI:109247]	13198
ENSMUSG00000025468	Caly	calcyon neuron-specific vesicular protein [Source:MGI Symbol;Acc:MGI:1915816]	68566
ENSMUSG00000025473	Adam8	a disintegrin and metallopeptidase domain 8 [Source:MGI Symbol;Acc:MGI:107825]	11501
ENSMUSG00000025479	Cyp2e1	cytochrome P450, family 2, subfamily e, polypeptide 1 [Source:MGI Symbol;Acc:MGI:88607]	13106
ENSMUSG00000025511	Tspan4	tetraspanin 4 [Source:MGI Symbol;Acc:MGI:1928097]	64540
ENSMUSG00000025551	Fgf14	fibroblast growth factor 14 [Source:MGI Symbol;Acc:MGI:109189]	14169
ENSMUSG00000025573	6030468B19Rik	RIKEN cDNA 6030468B19 gene [Source:MGI Symbol;Acc:MGI:1924977]	77727
ENSMUSG00000025574	Tk1	thymidine kinase 1 [Source:MGI Symbol;Acc:MGI:98763]	21877
ENSMUSG00000025582	Nptx1	neuronal pentraxin 1 [Source:MGI Symbol;Acc:MGI:107811]	18164
ENSMUSG00000025592	Dach2	dachshund family transcription factor 2 [Source:MGI Symbol;Acc:MGI:1890446]	93837
ENSMUSG00000025597	Klhl4	kelch-like 4 [Source:MGI Symbol;Acc:MGI:2442829]	237010
ENSMUSG00000025608	Podxl	podocalyxin-like [Source:MGI Symbol;Acc:MGI:1351317]	27205
ENSMUSG00000025647	Shisa5	shisa family member 5 [Source:MGI Symbol;Acc:MGI:1915044]	66940
ENSMUSG00000025658	Cnksr2	connector enhancer of kinase suppressor of Ras 2 [Source:MGI Symbol;Acc:MGI:2661175]	245684
ENSMUSG00000025666	Tmem47	transmembrane protein 47 [Source:MGI Symbol;Acc:MGI:2177570]	192216
ENSMUSG00000025716	Myo3a	myosin IIIA [Source:MGI Symbol;Acc:MGI:2183924]	667663
ENSMUSG00000025739	Gng13	guanine nucleotide binding protein (G protein), gamma 13 [Source:MGI Symbol;Acc:MGI:1925616]	64337
ENSMUSG00000025743	Sdc3	syndecan 3 [Source:MGI Symbol;Acc:MGI:1349163]	20970
ENSMUSG00000025746	Il6	interleukin 6 [Source:MGI Symbol;Acc:MGI:96559]	16193
ENSMUSG00000025758	Plk4	polo like kinase 4 [Source:MGI Symbol;Acc:MGI:101783]	20873
ENSMUSG00000025776	Crispld1	cysteine-rich secretory protein LCCL domain containing 1 [Source:MGI Symbol;Acc:MGI:1934666]	83691
ENSMUSG00000025780	Itih5	inter-alpha-trypsin inhibitor, heavy chain 5 [Source:MGI Symbol;Acc:MGI:1925751]	209378
ENSMUSG00000025784	Clec3b	C-type lectin domain family 3, member b [Source:MGI Symbol;Acc:MGI:104540]	21922
ENSMUSG00000025789	St8sia2	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2 [Source:MGI Symbol;Acc:MGI:106020]	20450
ENSMUSG00000025795	Rassf3	Ras association (RalGDS/AF-6) domain family member 3 [Source:MGI Symbol;Acc:MGI:2179722]	192678
ENSMUSG00000025809	Itgb1	integrin beta 1 (fibronectin receptor beta) [Source:MGI Symbol;Acc:MGI:96610]	16412
ENSMUSG00000025810	Nrp1	neuropilin 1 [Source:MGI Symbol;Acc:MGI:106206]	18186
ENSMUSG00000025812	Pard3	par-3 family cell polarity regulator [Source:MGI Symbol;Acc:MGI:2135608]	93742
ENSMUSG00000025823	Pdia4	protein disulfide isomerase associated 4 [Source:MGI Symbol;Acc:MGI:104864]	12304
ENSMUSG00000025856	Pdgfa	platelet derived growth factor, alpha [Source:MGI Symbol;Acc:MGI:97527]	18590
ENSMUSG00000025877	Hk3	hexokinase 3 [Source:MGI Symbol;Acc:MGI:2670962]	212032
ENSMUSG00000025880	Smad7	SMAD family member 7 [Source:MGI Symbol;Acc:MGI:1100518]	17131
ENSMUSG00000025885	Myo5b	myosin VB [Source:MGI Symbol;Acc:MGI:106598]	17919
ENSMUSG00000025892	Gria4	glutamate receptor, ionotropic, AMPA4 (alpha 4) [Source:MGI Symbol;Acc:MGI:95811]	14802
ENSMUSG00000025902	Sox17	SRY (sex determining region Y)-box 17 [Source:MGI Symbol;Acc:MGI:107543]	20671
ENSMUSG00000025909	Sntg1	syntrophin, gamma 1 [Source:MGI Symbol;Acc:MGI:1918346]	71096
ENSMUSG00000025921	Rdh10	retinol dehydrogenase 10 (all-trans) [Source:MGI Symbol;Acc:MGI:1924238]	98711
ENSMUSG00000025929	Il17a	interleukin 17A [Source:MGI Symbol;Acc:MGI:107364]	16171
ENSMUSG00000025930	Msc	musculin [Source:MGI Symbol;Acc:MGI:1333884]	17681
ENSMUSG00000025938	Slco5a1	solute carrier organic anion transporter family, member 5A1 [Source:MGI Symbol;Acc:MGI:2443431]	240726
ENSMUSG00000025959	Klf7	Kruppel-like factor 7 (ubiquitous) [Source:MGI Symbol;Acc:MGI:1935151]	93691
ENSMUSG00000025964	Adam23	a disintegrin and metallopeptidase domain 23 [Source:MGI Symbol;Acc:MGI:1345162]	23792
ENSMUSG00000025969	Nrp2	neuropilin 2 [Source:MGI Symbol;Acc:MGI:1100492]	18187
ENSMUSG00000025977	Boll	boule homolog, RNA binding protein [Source:MGI Symbol;Acc:MGI:1922638]	75388
ENSMUSG00000025978	Rftn2	raftlin family member 2 [Source:MGI Symbol;Acc:MGI:1921263]	74013
ENSMUSG00000025981	Coq10b	coenzyme Q10B [Source:MGI Symbol;Acc:MGI:1915126]	67876
ENSMUSG00000025997	Ikzf2	IKAROS family zinc finger 2 [Source:MGI Symbol;Acc:MGI:1342541]	22779
ENSMUSG00000026003	Acadl	acyl-Coenzyme A dehydrogenase, long-chain [Source:MGI Symbol;Acc:MGI:87866]	11363
ENSMUSG00000026009	Icos	inducible T cell co-stimulator [Source:MGI Symbol;Acc:MGI:1858745]	54167
ENSMUSG00000026011	Ctla4	cytotoxic T-lymphocyte-associated protein 4 [Source:MGI Symbol;Acc:MGI:88556]	12477
ENSMUSG00000026012	Cd28	CD28 antigen [Source:MGI Symbol;Acc:MGI:88327]	12487
ENSMUSG00000026029	Casp8	caspase 8 [Source:MGI Symbol;Acc:MGI:1261423]	12370
ENSMUSG00000026031	Cflar	CASP8 and FADD-like apoptosis regulator [Source:MGI Symbol;Acc:MGI:1336166]	12633
ENSMUSG00000026042	Col5a2	collagen, type V, alpha 2 [Source:MGI Symbol;Acc:MGI:88458]	12832
ENSMUSG00000026058	Khdrbs2	KH domain containing, RNA binding, signal transduction associated 2 [Source:MGI Symbol;Acc:MGI:2159649]	170771
ENSMUSG00000026068	Il18rap	interleukin 18 receptor accessory protein [Source:MGI Symbol;Acc:MGI:1338888]	16174
ENSMUSG00000026070	Il18r1	interleukin 18 receptor 1 [Source:MGI Symbol;Acc:MGI:105383]	16182
ENSMUSG00000026073	Il1r2	interleukin 1 receptor, type II [Source:MGI Symbol;Acc:MGI:96546]	16178
ENSMUSG00000026074	Map4k4	mitogen-activated protein kinase kinase kinase kinase 4 [Source:MGI Symbol;Acc:MGI:1349394]	26921
ENSMUSG00000026080	Chst10	carbohydrate sulfotransferase 10 [Source:MGI Symbol;Acc:MGI:2138283]	98388
ENSMUSG00000026094	Stk17b	serine/threonine kinase 17b (apoptosis-inducing) [Source:MGI Symbol;Acc:MGI:2138162]	98267
ENSMUSG00000026103	Gls	glutaminase [Source:MGI Symbol;Acc:MGI:95752]	14660
ENSMUSG00000026104	Stat1	signal transducer and activator of transcription 1 [Source:MGI Symbol;Acc:MGI:103063]	20846
ENSMUSG00000026107	Nabp1	nucleic acid binding protein 1 [Source:MGI Symbol;Acc:MGI:1923258]	109019
ENSMUSG00000026109	Tmeff2	transmembrane protein with EGF-like and two follistatin-like domains 2 [Source:MGI Symbol;Acc:MGI:1861735]	56363
ENSMUSG00000026121	Sema4c	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C [Source:MGI Symbol;Acc:MGI:109252]	20353
ENSMUSG00000026126	Ptpn18	protein tyrosine phosphatase, non-receptor type 18 [Source:MGI Symbol;Acc:MGI:108410]	19253
ENSMUSG00000026141	Col19a1	collagen, type XIX, alpha 1 [Source:MGI Symbol;Acc:MGI:1095415]	12823
ENSMUSG00000026149	Tm4sf20	transmembrane 4 L six family member 20 [Source:MGI Symbol;Acc:MGI:1913511]	66261
ENSMUSG00000026153	Fam135a	family with sequence similarity 135, member A [Source:MGI Symbol;Acc:MGI:1915437]	68187
ENSMUSG00000026158	Ogfrl1	opioid growth factor receptor-like 1 [Source:MGI Symbol;Acc:MGI:1917405]	70155
ENSMUSG00000026163	Sphkap	SPHK1 interactor, AKAP domain containing [Source:MGI Symbol;Acc:MGI:1924879]	77629
ENSMUSG00000026166	Ccl20	chemokine (C-C motif) ligand 20 [Source:MGI Symbol;Acc:MGI:1329031]	20297
ENSMUSG00000026177	Slc11a1	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1 [Source:MGI Symbol;Acc:MGI:1345275]	18173
ENSMUSG00000026180	Cxcr2	chemokine (C-X-C motif) receptor 2 [Source:MGI Symbol;Acc:MGI:105303]	12765
ENSMUSG00000026185	Igfbp5	insulin-like growth factor binding protein 5 [Source:MGI Symbol;Acc:MGI:96440]	16011
ENSMUSG00000026193	Fn1	fibronectin 1 [Source:MGI Symbol;Acc:MGI:95566]	14268
ENSMUSG00000026208	Des	desmin [Source:MGI Symbol;Acc:MGI:94885]	13346
ENSMUSG00000026222	Sp100	nuclear antigen Sp100 [Source:MGI Symbol;Acc:MGI:109561]	20684
ENSMUSG00000026235	Epha4	Eph receptor A4 [Source:MGI Symbol;Acc:MGI:98277]	13838
ENSMUSG00000026241	Nppc	natriuretic peptide type C [Source:MGI Symbol;Acc:MGI:97369]	18159
ENSMUSG00000026247	Ecel1	endothelin converting enzyme-like 1 [Source:MGI Symbol;Acc:MGI:1343461]	13599
ENSMUSG00000026249	Serpine2	serine (or cysteine) peptidase inhibitor, clade E, member 2 [Source:MGI Symbol;Acc:MGI:101780]	20720
ENSMUSG00000026255	Efhd1	EF hand domain containing 1 [Source:MGI Symbol;Acc:MGI:1921607]	98363
ENSMUSG00000026271	Gpr35	G protein-coupled receptor 35 [Source:MGI Symbol;Acc:MGI:1929509]	64095
ENSMUSG00000026272	Agxt	alanine-glyoxylate aminotransferase [Source:MGI Symbol;Acc:MGI:1329033]	11611
ENSMUSG00000026274	Pask	PAS domain containing serine/threonine kinase [Source:MGI Symbol;Acc:MGI:2155936]	269224
ENSMUSG00000026278	Bok	BCL2-related ovarian killer [Source:MGI Symbol;Acc:MGI:1858494]	51800
ENSMUSG00000026295	Spp2	secreted phosphoprotein 2 [Source:MGI Symbol;Acc:MGI:1922646]	75396
ENSMUSG00000026301	Iqca	IQ motif containing with AAA domain [Source:MGI Symbol;Acc:MGI:1922168]	74918
ENSMUSG00000026335	Pam	peptidylglycine alpha-amidating monooxygenase [Source:MGI Symbol;Acc:MGI:97475]	18484
ENSMUSG00000026347	Tmem163	transmembrane protein 163 [Source:MGI Symbol;Acc:MGI:1919410]	72160
ENSMUSG00000026357	Rgs18	regulator of G-protein signaling 18 [Source:MGI Symbol;Acc:MGI:1927498]	64214
ENSMUSG00000026358	Rgs1	regulator of G-protein signaling 1 [Source:MGI Symbol;Acc:MGI:1354694]	50778
ENSMUSG00000026360	Rgs2	regulator of G-protein signaling 2 [Source:MGI Symbol;Acc:MGI:1098271]	19735
ENSMUSG00000026385	Dbi	diazepam binding inhibitor [Source:MGI Symbol;Acc:MGI:94865]	13167
ENSMUSG00000026390	Marco	macrophage receptor with collagenous structure [Source:MGI Symbol;Acc:MGI:1309998]	17167
ENSMUSG00000026398	Nr5a2	nuclear receptor subfamily 5, group A, member 2 [Source:MGI Symbol;Acc:MGI:1346834]	26424
ENSMUSG00000026407	Cacna1s	calcium channel, voltage-dependent, L type, alpha 1S subunit [Source:MGI Symbol;Acc:MGI:88294]	12292
ENSMUSG00000026414	Tnnt2	troponin T2, cardiac [Source:MGI Symbol;Acc:MGI:104597]	21956
ENSMUSG00000026417	Pigr	polymeric immunoglobulin receptor [Source:MGI Symbol;Acc:MGI:103080]	18703
ENSMUSG00000026418	Tnni1	troponin I, skeletal, slow 1 [Source:MGI Symbol;Acc:MGI:105073]	21952
ENSMUSG00000026420	Il24	interleukin 24 [Source:MGI Symbol;Acc:MGI:2135548]	93672
ENSMUSG00000026421	Csrp1	cysteine and glycine-rich protein 1 [Source:MGI Symbol;Acc:MGI:88549]	13007
ENSMUSG00000026424	Gpr37l1	G protein-coupled receptor 37-like 1 [Source:MGI Symbol;Acc:MGI:1928503]	171469
ENSMUSG00000026458	Ppfia4	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4 [Source:MGI Symbol;Acc:MGI:1915757]	68507
ENSMUSG00000026469	Xpr1	xenotropic and polytropic retrovirus receptor 1 [Source:MGI Symbol;Acc:MGI:97932]	19775
ENSMUSG00000026475	Rgs16	regulator of G-protein signaling 16 [Source:MGI Symbol;Acc:MGI:108407]	19734
ENSMUSG00000026478	Lamc1	laminin, gamma 1 [Source:MGI Symbol;Acc:MGI:99914]	226519
ENSMUSG00000026479	Lamc2	laminin, gamma 2 [Source:MGI Symbol;Acc:MGI:99913]	16782
ENSMUSG00000026480	Ncf2	neutrophil cytosolic factor 2 [Source:MGI Symbol;Acc:MGI:97284]	17970
ENSMUSG00000026482	Rgl1	ral guanine nucleotide dissociation stimulator,-like 1 [Source:MGI Symbol;Acc:MGI:107484]	19731
ENSMUSG00000026527	Rgs7	regulator of G protein signaling 7 [Source:MGI Symbol;Acc:MGI:1346089]	24012
ENSMUSG00000026532	Spta1	spectrin alpha, erythrocytic 1 [Source:MGI Symbol;Acc:MGI:98385]	20739
ENSMUSG00000026542	Apcs	amyloid P component, serum [Source:MGI Symbol;Acc:MGI:98229]	20219
ENSMUSG00000026548	Slamf9	SLAM family member 9 [Source:MGI Symbol;Acc:MGI:1923692]	98365
ENSMUSG00000026574	Dpt	dermatopontin [Source:MGI Symbol;Acc:MGI:1928392]	56429
ENSMUSG00000026580	Selp	selectin, platelet [Source:MGI Symbol;Acc:MGI:98280]	20344
ENSMUSG00000026581	Sell	selectin, lymphocyte [Source:MGI Symbol;Acc:MGI:98279]	20343
ENSMUSG00000026582	Sele	selectin, endothelial cell [Source:MGI Symbol;Acc:MGI:98278]	20339
ENSMUSG00000026586	Prrx1	paired related homeobox 1 [Source:MGI Symbol;Acc:MGI:97712]	18933
ENSMUSG00000026592	Tex35	testis expressed 35 [Source:MGI Symbol;Acc:MGI:1920685]	73435
ENSMUSG00000026594	Ralgps2	Ral GEF with PH domain and SH3 binding motif 2 [Source:MGI Symbol;Acc:MGI:1925505]	78255
ENSMUSG00000026604	Ptpn14	protein tyrosine phosphatase, non-receptor type 14 [Source:MGI Symbol;Acc:MGI:102467]	19250
ENSMUSG00000026605	Cenpf	centromere protein F [Source:MGI Symbol;Acc:MGI:1313302]	108000
ENSMUSG00000026609	Ush2a	usherin [Source:MGI Symbol;Acc:MGI:1341292]	22283
ENSMUSG00000026610	Esrrg	estrogen-related receptor gamma [Source:MGI Symbol;Acc:MGI:1347056]	26381
ENSMUSG00000026616	Cr2	complement receptor 2 [Source:MGI Symbol;Acc:MGI:88489]	12902
ENSMUSG00000026620	Mark1	MAP/microtubule affinity regulating kinase 1 [Source:MGI Symbol;Acc:MGI:2664902]	226778
ENSMUSG00000026628	Atf3	activating transcription factor 3 [Source:MGI Symbol;Acc:MGI:109384]	11910
ENSMUSG00000026630	Batf3	basic leucine zipper transcription factor, ATF-like 3 [Source:MGI Symbol;Acc:MGI:1925491]	381319
ENSMUSG00000026639	Lamb3	laminin, beta 3 [Source:MGI Symbol;Acc:MGI:99915]	16780
ENSMUSG00000026655	Fam107b	family with sequence similarity 107, member B [Source:MGI Symbol;Acc:MGI:1913790]	66540
ENSMUSG00000026657	Frmd4a	FERM domain containing 4A [Source:MGI Symbol;Acc:MGI:1919850]	209630
ENSMUSG00000026670	Uap1	UDP-N-acetylglucosamine pyrophosphorylase 1 [Source:MGI Symbol;Acc:MGI:1334459]	107652
ENSMUSG00000026674	Ddr2	discoidin domain receptor family, member 2 [Source:MGI Symbol;Acc:MGI:1345277]	18214
ENSMUSG00000026676	Ccdc3	coiled-coil domain containing 3 [Source:MGI Symbol;Acc:MGI:1921436]	74186
ENSMUSG00000026678	Rgs5	regulator of G-protein signaling 5 [Source:MGI Symbol;Acc:MGI:1098434]	19737
ENSMUSG00000026697	Myoc	myocilin [Source:MGI Symbol;Acc:MGI:1202864]	17926
ENSMUSG00000026700	Tnfsf4	tumor necrosis factor (ligand) superfamily, member 4 [Source:MGI Symbol;Acc:MGI:104511]	22164
ENSMUSG00000026712	Mrc1	mannose receptor, C type 1 [Source:MGI Symbol;Acc:MGI:97142]	17533
ENSMUSG00000026721	Rabgap1l	RAB GTPase activating protein 1-like [Source:MGI Symbol;Acc:MGI:1352507]	29809
ENSMUSG00000026728	Vim	vimentin [Source:MGI Symbol;Acc:MGI:98932]	22352
ENSMUSG00000026735	Ptf1a	pancreas specific transcription factor, 1a [Source:MGI Symbol;Acc:MGI:1328312]	19213
ENSMUSG00000026748	Plxdc2	plexin domain containing 2 [Source:MGI Symbol;Acc:MGI:1914698]	67448
ENSMUSG00000026768	Itga8	integrin alpha 8 [Source:MGI Symbol;Acc:MGI:109442]	241226
ENSMUSG00000026770	Il2ra	interleukin 2 receptor, alpha chain [Source:MGI Symbol;Acc:MGI:96549]	16184
ENSMUSG00000026773	Pfkfb3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 [Source:MGI Symbol;Acc:MGI:2181202]	170768
ENSMUSG00000026778	Prkcq	protein kinase C, theta [Source:MGI Symbol;Acc:MGI:97601]	18761
ENSMUSG00000026785	Pkn3	protein kinase N3 [Source:MGI Symbol;Acc:MGI:2388285]	263803
ENSMUSG00000026786	Apbb1ip	amyloid beta (A4) precursor protein-binding, family B, member 1 interacting protein [Source:MGI Symbol;Acc:MGI:1861354]	54519
ENSMUSG00000026787	Gad2	glutamic acid decarboxylase 2 [Source:MGI Symbol;Acc:MGI:95634]	14417
ENSMUSG00000026814	Eng	endoglin [Source:MGI Symbol;Acc:MGI:95392]	13805
ENSMUSG00000026818	Cel	carboxyl ester lipase [Source:MGI Symbol;Acc:MGI:88374]	12613
ENSMUSG00000026822	Lcn2	lipocalin 2 [Source:MGI Symbol;Acc:MGI:96757]	16819
ENSMUSG00000026824	Kcnj3	potassium inwardly-rectifying channel, subfamily J, member 3 [Source:MGI Symbol;Acc:MGI:104742]	16519
ENSMUSG00000026826	Nr4a2	nuclear receptor subfamily 4, group A, member 2 [Source:MGI Symbol;Acc:MGI:1352456]	18227
ENSMUSG00000026832	Cytip	cytohesin 1 interacting protein [Source:MGI Symbol;Acc:MGI:2183535]	227929
ENSMUSG00000026835	Fcnb	ficolin B [Source:MGI Symbol;Acc:MGI:1341158]	14134
ENSMUSG00000026837	Col5a1	collagen, type V, alpha 1 [Source:MGI Symbol;Acc:MGI:88457]	12831
ENSMUSG00000026840	Lamc3	laminin gamma 3 [Source:MGI Symbol;Acc:MGI:1344394]	23928
ENSMUSG00000026841	Fibcd1	fibrinogen C domain containing 1 [Source:MGI Symbol;Acc:MGI:2138953]	98970
ENSMUSG00000026864	Hspa5	heat shock protein 5 [Source:MGI Symbol;Acc:MGI:95835]	14828
ENSMUSG00000026866	Kynu	kynureninase [Source:MGI Symbol;Acc:MGI:1918039]	70789
ENSMUSG00000026872	Zeb2	zinc finger E-box binding homeobox 2 [Source:MGI Symbol;Acc:MGI:1344407]	24136
ENSMUSG00000026875	Traf1	TNF receptor-associated factor 1 [Source:MGI Symbol;Acc:MGI:101836]	22029
ENSMUSG00000026879	Gsn	gelsolin [Source:MGI Symbol;Acc:MGI:95851]	227753
ENSMUSG00000026880	Stom	stomatin [Source:MGI Symbol;Acc:MGI:95403]	13830
ENSMUSG00000026896	Ifih1	interferon induced with helicase C domain 1 [Source:MGI Symbol;Acc:MGI:1918836]	71586
ENSMUSG00000026904	Slc4a10	solute carrier family 4, sodium bicarbonate cotransporter-like, member 10 [Source:MGI Symbol;Acc:MGI:2150150]	94229
ENSMUSG00000026921	Egfl7	EGF-like domain 7 [Source:MGI Symbol;Acc:MGI:2449923]	353156
ENSMUSG00000026923	Notch1	notch 1 [Source:MGI Symbol;Acc:MGI:97363]	18128
ENSMUSG00000026946	Nmi	N-myc (and STAT) interactor [Source:MGI Symbol;Acc:MGI:1928368]	64685
ENSMUSG00000026950	Neb	nebulin [Source:MGI Symbol;Acc:MGI:97292]	17996
ENSMUSG00000026970	Rbms1	RNA binding motif, single stranded interacting protein 1 [Source:MGI Symbol;Acc:MGI:1861774]	56878
ENSMUSG00000026981	Il1rn	interleukin 1 receptor antagonist [Source:MGI Symbol;Acc:MGI:96547]	16181
ENSMUSG00000026989	Dapl1	death associated protein-like 1 [Source:MGI Symbol;Acc:MGI:1923997]	76747
ENSMUSG00000027009	Itga4	integrin alpha 4 [Source:MGI Symbol;Acc:MGI:96603]	16401
ENSMUSG00000027015	Cybrd1	cytochrome b reductase 1 [Source:MGI Symbol;Acc:MGI:2654575]	73649
ENSMUSG00000027068	Dhrs9	dehydrogenase/reductase (SDR family) member 9 [Source:MGI Symbol;Acc:MGI:2442798]	241452
ENSMUSG00000027072	Prg3	proteoglycan 3 [Source:MGI Symbol;Acc:MGI:1858200]	53856
ENSMUSG00000027073	Prg2	proteoglycan 2, bone marrow [Source:MGI Symbol;Acc:MGI:103294]	19074
ENSMUSG00000027074	Slc43a3	solute carrier family 43, member 3 [Source:MGI Symbol;Acc:MGI:1931054]	58207
ENSMUSG00000027082	Tfpi	tissue factor pathway inhibitor [Source:MGI Symbol;Acc:MGI:1095418]	21788
ENSMUSG00000027102	Hoxd8	homeobox D8 [Source:MGI Symbol;Acc:MGI:96209]	15437
ENSMUSG00000027111	Itga6	integrin alpha 6 [Source:MGI Symbol;Acc:MGI:96605]	16403
